"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"109","朝霞市","色鉛筆","","","◎","","","","","","","","","","金属製樹脂製のケースは不燃ごみ"
"110","朝霞市","岩","","","","","","","","","","","◎","",""
"111","朝霞市","印画紙","写真、インクジェット写真用紙、アルバム等用","","◎","","","","","","","","","",""
"112","朝霞市","印鑑","","木製、ゴム製、象牙製","◎","","","","","","","","","",""
"113","朝霞市","印鑑","","プラスチック製、金属製","","◎","","","","","","","","",""
"114","朝霞市","印鑑ケース(印章ケース)","","","","◎","","","","","","","","",""
"115","朝霞市","インクカートリッジ","インクジェットプリンター用等","","","","","","","","","","◎","","販売店へ返却してください。"
"116","朝霞市","インクリボン","ファクシミリ用、ワープロ用等","","◎","","","","","","","","","",""
"117","朝霞市","インソール","靴用中敷き","","◎","","","","","","","","","",""
"118","朝霞市","インターホン","","","","◎","","","","","","","","",""
"119","朝霞市","インデックスラベル","","","◎","","","","","","","","","",""
"120","朝霞市","インテリアライト","","","","◎","","","","○","","","","","蛍光管、電球を取り外してください。50cm以上のものは粗大ごみ。"
"121","朝霞市","印泥(練り朱肉)","書画落款用","","◎","","","","","","","","","","陶器製等の容器は不燃ごみ。"
"122","朝霞市","インバーター発電機","","","","","","","","","","","◎","",""
"123","朝霞市","印箱","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"124","朝霞市","印判ブラシ(印鑑クリーナー)","","","","◎","","","","","","","","",""
"125","朝霞市","印マット(捺印マット)","","","◎","","","","","","","","","",""
"126","朝霞市","ウィッグ(かつら)","","","◎","","","","","","","","","",""
"127","朝霞市","ウィンドサーフィンボード","","","","","","","","◎","","","","",""
"128","朝霞市","ウィンドファン","","","","","","","","◎","","","○","温度調節機能があるウィンド形エアコンは不可。","風量調節機能のみで、温度調節機能がないものに限る。温度調節機能があるウィンド形エアコンは家電リサイクル法対象品目。"
"129","朝霞市","ウィンドブレーカー","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"130","朝霞市","植木","長さ50cm未満、直径5cm未満","","◎","","","","","","","","","","集積所に出す場合は、直径30cm未満に束ねてください。1度に出せるのは2袋まで。"
"131","朝霞市","植木","長さ50cm以上180cm未満、直径5cm以上10cm未満","","","","","","","◎","","","","","葉を落としてください。葉は可燃ごみ。束ねる際は直径30cm未満に束ねてください。"
"132","朝霞市","植木支柱","園芸用品","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"133","朝霞市","植木ばさみ(園芸ばさみ)","","","","◎","","","","○","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm以上のものは粗大ごみ。"
"134","朝霞市","植木鉢(フラワーポット)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"135","朝霞市","植木鉢皿","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"136","朝霞市","植木鉢台(花台、フラワースタンド)","","","","○","","","","◎","","","○","建材等を使用して自作したものは不可。","50cm未満のものは不燃ごみ。"
"137","朝霞市","ウェストポーチ","","","◎","○","","","","","","","","","金具が取り外せないものは不燃ごみ。"
"138","朝霞市","ウェットスーツ","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"139","朝霞市","ウォータークーラー(冷水機)","","","","","","","","","","","◎","",""
"140","朝霞市","ウォーターサーバー","","","","","","","","","","","◎","",""
"141","朝霞市","ウォーターサーバーボトル","ビニールパック","","◎","","","○","","","","","","","プラスチックマークがあるものはプラスチック資源。"
"142","朝霞市","ウォーターサーバーボトル","リターナブルボトル、ワンウェイボトル","","","◎","","","","","","","","","リターナブル（再利用）ボトルは購入先、メーカーへの返却を優先してください。"
"143","朝霞市","ウォーターベッド","","","","","","","","◎","","","○","水を抜いていないものは不可。","水を完全に抜いてください。"
"144","朝霞市","ウォッシュエアシート(温水洗浄便座)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"145","朝霞市","ウォッシャー液の容器","","","○","","","◎","","","","","","","容器の中を軽く洗ってください。"
"146","朝霞市","浮(うき)","釣具","","","◎","","","","","","","","",""
"147","朝霞市","浮き輪","","","◎","","","","","","","","","","50cm未満に切ってください。"
"148","朝霞市","ウクレレ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"149","朝霞市","臼(うす)","","","","","","","","","","","◎","",""
"150","朝霞市","団扇(うちわ)","","竹製","◎","○","","","","","","","","",""
"151","朝霞市","団扇(うちわ)","","プラスチック製","○","◎","","","","","","","","",""
"152","朝霞市","ウッドカーペット(フローリングマット)","家具","","","","","","","◎","","","","",""
"153","朝霞市","ウッドクラフト(木製工芸品)","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"154","朝霞市","ウッドデッキ","","","","","","","","","","","◎","",""
"155","朝霞市","腕時計","機械式、電池式、充電式、デジタル式","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"156","朝霞市","乳母車(ベビーカー)","","","","","","","","◎","","","","",""
"157","朝霞市","羽毛布団","","","","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"158","朝霞市","ウレタンマットレス","","","","","","","","◎","","","","",""
"159","朝霞市","うろことり器","調理器具","","","◎","","","","","","","","",""
"160","朝霞市","上履き","","","◎","○","","","","","","","","","金具の取り外せないものは不燃ごみ。"
"161","朝霞市","運動靴(スニーカー)","","","◎","○","","","","","","","","","金具の取り外せないものは不燃ごみ。"
"162","朝霞市","エアガン(モデルガン)","玩具","","","◎","○","","","○","","","","充電池内蔵式は有害ごみ","50cm以上のものは粗大ごみ。内部に弾が残っている場合は取り除いてください。"
"163","朝霞市","エアキャップ(気泡緩衝材)","","プラスチック製","","","","◎","","","","","","",""
"164","朝霞市","エアコン(室内機、室外機)","","","","","","","","","","","◎","","家電リサイクル法対象品目。"
"165","朝霞市","エアコンカバー(室内機ほこり除け用)","","布製","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"166","朝霞市","エアコンカバー(室内機ほこり除け用)","","木製、プラスチック製","","","","","","◎","","","","",""
"167","朝霞市","エアダスター","OA機器清掃用","","","◎","","","","","","○","","","事故の原因となるため、必ず中身を使い切ってください。他の不燃ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"168","朝霞市","エアブラシ","模型製作用","","","◎","","","","","","","","",""
"169","朝霞市","エアポンプ(ブロワーポンプ)","30cm未満","","","◎","","","","","☆","","○","30cm以上のものは不可。",""
"170","朝霞市","エアマットレス","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"171","朝霞市","映写機","","","","","","","","○","","","◎","",""
"172","朝霞市","HDDレコーダー","","","","◎","","","","○","☆","","","","記録などは消去してください。50cm以上のものは粗大ごみ。"
"173","朝霞市","AED(自動体外式除細動器)","","","","△","","","","","","","◎","","購入先、メーカーへの返却を優先してください。"
"174","朝霞市","ACアダプター","家庭用電子機器用","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"175","朝霞市","液晶ディスプレイ","パソコン用","","","","","","","","☆","◎","○","仕事で使用したものは不可
ブラウン管式は不可。","資源有効利用促進法指定品目。ブラウン管式モニターは処理できません。一般社団法人パソコン3R推進協会(℡03-5282-7685)に問い合わせてください。"
"176","朝霞市","液晶テレビ","","","","","","","","","","","◎","","家電リサイクル法対象品目。
チューナーレステレビは別掲を参照。"
"177","朝霞市","エキスパンダー","","","","◎","","","","","","","","",""
"178","朝霞市","液体糊の容器","","プラスチック製","◎","○","","","","","","","","",""
"179","朝霞市","S字フック(Sカン)","","","","◎","","","","","","","","",""
"180","朝霞市","SDメモリーカード","","","","◎","","","","","☆","","","","記録などは消去してください。"
"181","朝霞市","枝切りばさみ","","","","○","","","","◎","","","○","仕事で使用したものは不可
180cm以上のものは不可。","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm未満のものは不燃ごみ。"
"182","朝霞市","枝葉類","長さ50cm未満、直径5cm未満","","◎","","","","","","","","","","集積所に出す場合は、直径30cm未満に束ねてください。1度に出せるのは2袋まで。"
"183","朝霞市","枝葉類","長さ50cm以上180cm未満、直径5cm以上10cm未満","","","","","","","◎","","","","","葉を落としてください。葉は可燃ごみ。"
"184","朝霞市","エッグスライサー(卵切り器)","","","","◎","","","","","","","","",""
"185","朝霞市","エッグパン","","","","◎","","","","","","","","",""
"186","朝霞市","絵の具の容器","","金属製","","◎","","","","","","","","","中身は使い切ってください。"
"187","朝霞市","絵の具の容器","","プラスチック製","◎","○","","","","","","","","","中身は使い切ってください。"
"188","朝霞市","FF式暖房機(石油ファンヒーター)","本体のみ","","","○","","","","◎","","","○","配管や煙突等は不可。","事故の原因となるため、必ず燃料を使い切ってください。50cm未満のものは不燃ごみ。"
"189","朝霞市","絵筆(画筆)","","","","◎","","","","","","","","",""
"190","朝霞市","エプロン","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"191","朝霞市","絵本","","","","","","","◎","","","","","",""
"192","朝霞市","MD","","","","◎","","","","","","","","",""
"193","朝霞市","MDプレーヤー","携帯型","","","◎","","","","","☆","","","",""
"194","朝霞市","MDプレーヤー","据置型","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"195","朝霞市","LED電球","","","","◎","","","","","","","","",""
"196","朝霞市","LD","","","","◎","","","","","","","","",""
"197","朝霞市","LDプレーヤー","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"198","朝霞市","LPGボンベ","","","","","","","","","","","◎","",""
"199","朝霞市","エレキギター","","","","","","","","◎","","","","",""
"200","朝霞市","エレクトーン","","","","","","","","","","","◎","",""
"201","朝霞市","塩化カルシウム(融雪剤)","","","","","","","","","","","◎","",""
"202","朝霞市","園芸ばさみ(植木ばさみ)","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"203","朝霞市","園芸用支柱","園芸用品","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"204","朝霞市","エンジンオイル","","","","","","","","","","","◎","","販売店・取扱店にお問合せください。"
"205","朝霞市","エンジンオイルの容器","","金属製","","◎","","","","","","","","","中身は使い切ってください。"
"206","朝霞市","縁台(ベンチ)","","","","","","","","","","","◎","",""
"207","朝霞市","延長コード(電気コード)","非ドラム式","","","◎","","","","","☆","","","","束ねて縛ってください。"
"208","朝霞市","煙突","","","","","","","","","","","◎","",""
"209","朝霞市","鉛筆","","","◎","","","","","","","","","",""
"210","朝霞市","鉛筆削り","手動式","","","◎","","","","","","","","",""
"211","朝霞市","鉛筆削り","電動式","","","◎","","","","","☆","","","",""
"212","朝霞市","オアシス","生け花用吸水スポンジ","","◎","","","","","","","","","","十分に乾かしてから出してください。"
"213","朝霞市","オイルパック(廃油処理箱)","","","◎","","","","","","","","○","仕事で使用したものは不可","4.5リットル以下１箱まで"
"214","朝霞市","オイルヒーター","","","","","","","","◎","","","","","本体のオイルを抜く必要はありません。"
"215","朝霞市","オイルポット(油こし器)","","","","◎","","","","","","","○","液体のままのものは不可。","残った食用油は油固化剤で固めるか、古紙、古布等に染み込ませて可燃ごみ。残った油を処理した後、軽く洗ってください。"
"216","朝霞市","オイルライター","","","","","◎","","","","","○","","","事故の原因となるため、必ず燃料を使い切ってください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"217","朝霞市","王冠","","","","◎","","","","","","","","",""
"218","朝霞市","OAタップ(テーブルタップ)","","","","◎","","","","","☆","","","","束ねて縛ってください。"
"219","朝霞市","大型ハンマー","","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"220","朝霞市","オーディオラック","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"221","朝霞市","オートバイ","","","","","","","","","","","◎","",""
"222","朝霞市","オートバイの部品","","","","","","","","","","","◎","",""
"223","朝霞市","オーバー(コート)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"224","朝霞市","オーブントースター","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"225","朝霞市","オーブンレンジ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"226","朝霞市","オール(櫂)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"227","朝霞市","おがくず","","","◎","","","","","","","","","",""
"228","朝霞市","置き畳(システム畳)","","","","","","","","◎","","","○","通常の畳やそれに準ずるものは不可。",""
"229","朝霞市","置き時計","デジタル式、電池式、電動式","","","◎","","","","○","☆","","","","電池式は電池を取り外してください。50cm以上のものは粗大ごみ。"
"230","朝霞市","桶(おけ)","","木製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"231","朝霞市","桶(おけ)","","プラスチック製、金属製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"232","朝霞市","押入れシート","","プラスチック製","◎","","","","","","","","","","50cm未満に切ってください。"
"233","朝霞市","押入れ棚","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"234","朝霞市","押入れだんす","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"235","朝霞市","押しピン","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"236","朝霞市","おしぼり","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"237","朝霞市","おしぼり受け","","木製、竹製","◎","","","","","","","","","",""
"238","朝霞市","おしぼり受け","","プラスチック製、金属製","","◎","","","","","","","","",""
"239","朝霞市","おしゃぶり","","","","◎","","","","","","","","",""
"240","朝霞市","おたま(玉杓子)","","","","◎","","","","","","","","",""
"241","朝霞市","落ち葉(枯れ葉)","","","◎","","","","","","","","","","1度に出せるのは2袋まで。"
"242","朝霞市","おちょこ","","木製","◎","○","","","","","","","","",""
"243","朝霞市","おちょこ","","陶磁器製、ガラス製、金属製","","◎","","","","","","","","",""
"244","朝霞市","オットマン","家具","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"245","朝霞市","汚泥(泥)","","","","","","","","","","","◎","",""
"246","朝霞市","お手拭","食料品等に付属のもの","","◎","","","","","","","","","",""
"247","朝霞市","斧(おの)","工具","","","○","","","","◎","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm未満のものは不燃ごみ。"
"248","朝霞市","帯","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"249","朝霞市","帯締め","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"250","朝霞市","おひつ(飯びつ)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"251","朝霞市","おぼん","","木製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"252","朝霞市","おぼん","","プラスチック製、金属製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"253","朝霞市","おまる","","","","","","","","◎","","","","",""
"254","朝霞市","おむつ","","","◎","","","","","","","","","","汚物はトイレに流してください。"
"255","朝霞市","おむつカバー","","","◎","","","","","","","","","",""
"256","朝霞市","おもちゃ類(玩具類)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"257","朝霞市","おもちゃ類(玩具類)","デジタル式、電池式、充電式、電動式","","","◎","○","","","○","☆","","","充電池内蔵式は有害ごみ","電池を取り外してください。50cm以上のものは粗大ごみ。"
"258","朝霞市","おもり","釣具","","","◎","","","","","","","","",""
"259","朝霞市","折り紙","","","○","","","","◎","","","","","","金色・銀色など加工された紙は可燃ごみ。"
"260","朝霞市","折りたたみ傘","","","","◎","","","","","","","","",""
"261","朝霞市","折りたたみ式コンテナ","","プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"262","朝霞市","折りたたみ式ベッド","","","","","","","","◎","","","","",""
"263","朝霞市","折箱","","木製、紙製","◎","","","","","","","","","",""
"264","朝霞市","折箱","","プラスチック製、発泡スチロール製","○","","","◎","","","","","","","容器の中を洗ってください。"
"265","朝霞市","オルガン","","","","","","","","","","","◎","",""
"266","朝霞市","オルゴール","","","","◎","","","","","","","","",""
"267","朝霞市","おろし金(おろし器)","","","","◎","","","","","","","","",""
